[2019-09-01 19:53:01,569] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点",\'rows\':[\'1\']}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 19:53:01,600] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 19:53:03,283] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 19:53:03,283] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 19:53:03,298] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 19:53:03,298] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 19:53:03,298] - Logger.py - INFO: 2
[2019-09-01 21:38:18,348] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点",\'rows\':[\'1\']}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 21:38:18,484] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 21:38:18,868] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 21:38:18,886] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 21:38:18,902] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 21:38:18,922] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 21:38:18,935] - Logger.py - INFO: 2
[2019-09-01 21:38:18,957] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 22:05:54,138] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点",\'rows\':[\'1\']}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 22:05:54,204] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 22:05:54,634] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 22:05:54,649] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 22:05:54,663] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 22:05:54,672] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 22:05:54,697] - Logger.py - INFO: 2
[2019-09-01 22:05:54,712] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 22:06:41,964] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点",\'rows\':[\'1\']}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 22:06:42,053] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 22:06:42,390] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 22:06:42,406] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 22:06:42,408] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 22:06:42,427] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 22:06:42,443] - Logger.py - INFO: 2
[2019-09-01 22:06:42,455] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 23:24:12,071] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点"}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 23:24:12,138] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 23:24:12,822] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:24:12,843] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:24:12,862] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:24:12,882] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 23:24:12,898] - Logger.py - INFO: 2
[2019-09-01 23:24:12,925] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 23:24:12,945] - Logger.py - INFO: 结束【获取列表111】脚本测试
[2019-09-01 23:24:12,963] - Logger.py - INFO: ******************************
[2019-09-01 23:24:12,983] - Logger.py - INFO: 开始执行【获取列表222】脚本
[2019-09-01 23:24:13,318] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:24:13,338] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:24:13,360] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:24:13,379] - Logger.py - INFO: 2.0.获取列表222:状态测试成功
[2019-09-01 23:24:13,399] - Logger.py - INFO: 2
[2019-09-01 23:24:13,418] - Logger.py - INFO: 2.0.获取列表222:返回的字段[newsTypeName]验证OK
[2019-09-01 23:24:13,437] - Logger.py - INFO: 结束【获取列表222】脚本测试
[2019-09-01 23:24:13,457] - Logger.py - INFO: ******************************
[2019-09-01 23:24:13,477] - Logger.py - INFO: 测试结束
[2019-09-01 23:24:13,493] - Logger.py - INFO: ------------------------------
[2019-09-01 23:25:10,414] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点"}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 23:25:10,538] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 23:25:10,915] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:25:10,936] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:25:10,953] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:25:10,977] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 23:25:10,996] - Logger.py - INFO: 2
[2019-09-01 23:25:11,016] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 23:25:11,037] - Logger.py - INFO: 结束【获取列表111】脚本测试
[2019-09-01 23:25:11,056] - Logger.py - INFO: ******************************
[2019-09-01 23:25:11,076] - Logger.py - INFO: 开始执行【获取列表222】脚本
[2019-09-01 23:25:11,411] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:25:11,432] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:25:11,454] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:25:11,473] - Logger.py - INFO: 2.0.获取列表222:状态测试成功
[2019-09-01 23:25:11,492] - Logger.py - INFO: 2
[2019-09-01 23:25:11,513] - Logger.py - INFO: 2.0.获取列表222:返回的字段[newsTypeName]验证OK
[2019-09-01 23:25:11,529] - Logger.py - INFO: 结束【获取列表222】脚本测试
[2019-09-01 23:25:11,553] - Logger.py - INFO: ******************************
[2019-09-01 23:25:11,573] - Logger.py - INFO: 测试结束
[2019-09-01 23:25:11,592] - Logger.py - INFO: ------------------------------
[2019-09-01 23:27:33,566] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点"}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 23:27:33,652] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 23:27:34,008] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:27:34,030] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:27:34,038] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:27:34,046] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 23:27:34,052] - Logger.py - INFO: 2
[2019-09-01 23:27:34,063] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
